-------------------------------------------------------------------------------
--
-- Title      : List of local and global libraries visible in Library Manager
-- Active-HDL : StudentEdition 
-- Workspace  : FirstExample
-- Design     : MyDesign
-- Author     : p3
-- Company    : p3-Soft
-- Date       : 2015-03-08 10:44:23
--
-------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Library                | Mode  | Vendor     | Version                                          | Comment
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
aldec                  | RO    | ALDEC      | Aldec Active-HDL                                 | VHDL PROCEDURES FOR CALLING ASDB, MATLAB, SIGNAL AGENT TASKS FROM THE VHDL CODE, RANDOM PACKAGE
arriav_pcie_hip_ver    | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAV_PCIE_HIP VERILOG LIBRARY
altera_lnsim_ver       | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ALTERA_LNSIM VERILOG LIBRARY
altera                 | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ALTERA VHDL LIBRARY
altera_ver             | RO    | ALTERA     | ALTERA Quartus II 13.1                           | VERILOG LIBRARY FOR TIMING DESIGNS
altera_lnsim           | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ALTERA_LNSIM VHDL LIBRARY
altera_mf_ver          | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ALTERA_MF VERILOG LIBRARY
altera_mf              | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ALTERA_MF VHDL LIBRARY
arriaiigz_hssi_ver     | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAIIGZ_HSSI VERILOG LIBRARY
arriaii_ver            | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAII VERILOG LIBRARY
arriaii_pcie_hip       | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAII_PCIE_HIP VHDL LIBRARY
arriaii_hssi           | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAII_HSSI VHDL LIBRARY
arriaii                | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAII VHDL LIBRARY
arriaii_hssi_ver       | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAII_HSSI VERILOG LIBRARY
arriaii_pcie_hip_ver   | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAII_PCIE_HIP VERILOG LIBRARY
arriaiigz_hssi         | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAIIGZ_HSSI VHDL LIBRARY
arriaiigz              | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAIIGZ VHDL LIBRARY
arriaiigz_pcie_hip_ver | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAIIGZ_PCIE_HIP VERILOG LIBRARY
arriav                 | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAV LIBRARY
arriav_hssi_ver        | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAV_HSSI VERILOG LIBRARY
arriaiigz_pcie_hip     | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAIIGZ_PCIE_HIP VHDL LIBRARY
cycloneiv_pcie_hip_ver | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIV_PCIE_HIP VERILOG LIBRARY
arriaiigz_ver          | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAIIGZ VERILOG LIBRARY
arriavgz_pcie_hip_ver  | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAVGZ_PCIE_HIP VERILOG LIBRARY
arriavgz_hssi          | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAVGZ_HSSI LIBRARY
arriavgz               | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAVGZ LIBRARY
arriav_ver             | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAV VERILOG LIBRARY
arriavgz_pcie_hip      | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAVGZ_PCIE_HIP LIBRARY
arriavgz_hssi_ver      | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAVGZ_HSSI VERILOG LIBRARY
arriavgz_ver           | RO    | ALTERA     | ALTERA Quartus II 13.1                           | ARRIAVGZ VERILOG LIBRARY
cycloneiiils_ver       | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIIILS VERILOG LIBRARY
cycloneiii_ver         | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIII VERILOG LIBRARY
cycloneiii             | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIII VHDL LIBRARY
cycloneiiils           | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIIILS VHDL LIBRARY
cycloneiv_hssi_ver     | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIV_HSSI VERILOG LIBRARY
cycloneiv_hssi         | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIV_HSSI VHDL LIBRARY
cycloneiv              | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIV VHDL LIBRARY
cycloneiv_pcie_hip     | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIV_PCIE_HIP VHDL LIBRARY
cycloneive_ver         | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIVE VERILOG LIBRARY
cycloneive             | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIVE VHDL LIBRARY
cycloneiv_ver          | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEIV VERILOG LIBRARY
cyclonev_pcie_hip_ver  | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEV_PCIE_HIP VERILOG LIBRARY
cyclonev_hssi_ver      | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEV_HSSI VERILOG LIBRARY
cyclonev               | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEV LIBRARY
cyclonev_ver           | RO    | ALTERA     | ALTERA Quartus II 13.1                           | CYCLONEV VERILOG LIBRARY
lpm                    | RO    | ALTERA     | ALTERA Quartus II 13.1                           | LPM  VHDL LIBRARY
